engen_gas,engen_elec,engen_mintemp
0,0,4.0
0,0,5.0
0,0,3.0
0.0,0.0,7.0
3840.0,550.0,6.0
1490.0,510.0,4.0
12220.0,480.0,9.0
5090.0,340.0,5.0
7290.0,390.0,8.0
12480.0,70.0,3.0
15880.0,740.0,7.0
1880.0,840.0,8.0
6570.0,780.0,4.0
3320.0,600.0,1.0
2460.0,530.0,-1.0
560.0,790.0,3.0
1760.0,110.0,-1.0
840.0,320.0,2.0
1520.0,170.0,2.0
280.0,1090.0,2.0
2070.0,70.0,4.0
1970.0,2890.0,6.0
5670.0,70.0,9.0
9050.0,1010.0,10.0
7330.0,880.0,7.0
3440.0,1720.0,2.0
2500.0,1870.0,5.0
4300.0,nan,4.0
3340.0,880.0,6.0
4230.0,920.0,4.0
6660.0,520.0,7.0
3030.0,400.0,3.0
2740.0,470.0,8.0
5450.0,730.0,4.0
4000.0,540.0,5.0
5300.0,400.0,8.0
4870.0,nan,4.0
5540.0,600.0,6.0
3460.0,450.0,3.0
3640.0,570.0,3.0
17450.0,380.0,3.0
2520.0,570.0,-1.0
6000.0,570.0,5.0
4710.0,520.0,8.0
5570.0,610.0,9.0
450.0,490.0,2.0
7280.0,550.0,2.0
4160.0,670.0,5.0
3360.0,620.0,0.0
1290.0,620.0,-1.0
6090.0,480.0,5.0
5720.0,660.0,2.0
1430.0,350.0,4.0
3620.0,630.0,7.0
5630.0,520.0,7.0
1290.0,460.0,7.0
3020.0,300.0,6.0
6240.0,490.0,6.0
7860.0,350.0,5.0
7140.0,290.0,5.0
5350.0,390.0,6.0
2660.0,260.0,5.0
5730.0,320.0,3.0
5670.0,180.0,5.0
23500.0,220.0,6.0
6000.0,400.0,6.0
5910.0,500.0,8.0
6180.0,350.0,10.0
8460.0,720.0,9.0
8050.0,490.0,13.0
24020.0,560.0,8.0
4560.0,nan,7.0
6390.0,480.0,6.0
310.0,350.0,7.0
4530.0,570.0,7.0
2930.0,410.0,9.0
7400.0,440.0,8.0
5960.0,360.0,12.0
4840.0,520.0,12.0
1750.0,410.0,14.0
1770.0,430.0,14.0
1320.0,490.0,12.0
12780.0,740.0,9.0
2780.0,370.0,11.0
7200.0,400.0,8.0
6190.0,600.0,13.0
4430.0,310.0,11.0
2900.0,640.0,8.0
3610.0,680.0,8.0
8000.0,510.0,8.0
2210.0,440.0,9.0
1120.0,580.0,7.0
4210.0,370.0,9.0
6210.0,340.0,10.0
670.0,630.0,11.0
1670.0,460.0,13.0
2420.0,480.0,11.0
2370.0,1060.0,9.0
3580.0,570.0,12.0
3780.0,490.0,12.0
1550.0,430.0,11.0
3540.0,2160.0,14.0
850.0,240.0,14.0
340.0,580.0,14.0
2160.0,570.0,9.0
560.0,550.0,12.0
1010.0,450.0,13.0
130.0,730.0,13.0
740.0,570.0,11.0
670.0,440.0,9.0
1710.0,380.0,8.0
2090.0,450.0,10.0
1520.0,690.0,11.0
27350.0,430.0,10.0
9640.0,360.0,11.0
58390.0,470.0,11.0
8930.0,470.0,9.0
3590.0,520.0,11.0
nan,590.0,9.0
nan,590.0,9.0
91940.0,260.0,12.0
nan,500.0,13.0
nan,550.0,8.0
nan,220.0,12.0
nan,240.0,11.0
nan,460.0,10.0
nan,450.0,8.0
nan,nan,11.0
nan,410.0,11.0
nan,360.0,13.0
nan,380.0,11.0
nan,180.0,12.0
nan,200.0,9.0
nan,100.0,12.0
nan,210.0,12.0
nan,230.0,9.0
nan,110.0,12.0
nan,170.0,12.0
nan,120.0,11.0
nan,280.0,11.0
nan,290.0,12.0
320.0,230.0,10.0
560.0,120.0,11.0
800.0,160.0,11.0
1720.0,220.0,11.0
4590.0,200.0,11.0
840.0,220.0,11.0
990.0,210.0,9.0
1250.0,400.0,12.0
420.0,230.0,13.0
480.0,210.0,9.0
1230.0,140.0,8.0
2400.0,200.0,10.0
2070.0,320.0,8.0
380.0,330.0,8.0
590.0,200.0,8.0
3140.0,200.0,13.0
2010.0,240.0,11.0
300.0,260.0,7.0
1710.0,110.0,9.0
1200.0,120.0,12.0
1660.0,100.0,10.0
780.0,80.0,12.0
1070.0,90.0,11.0
1420.0,140.0,11.0
790.0,nan,10.0
950.0,nan,8.0
720.0,nan,14.0
4290.0,nan,14.0
4810.0,nan,11.0
1720.0,nan,13.0
2700.0,nan,11.0
10320.0,nan,10.0
6700.0,nan,16.0
4760.0,800.0,9.0
980.0,570.0,8.0
1880.0,510.0,7.0
2260.0,520.0,8.0
2250.0,560.0,6.0
740.0,320.0,10.0
880.0,330.0,13.0
2040.0,380.0,12.0
3670.0,740.0,9.0
2730.0,380.0,9.0
1220.0,260.0,9.0
170.0,240.0,8.0
2530.0,290.0,9.0
630.0,260.0,8.0
nan,380.0,8.0
