gen_gas,gen_elec
0.0,0.0
4350.0,710.0
8020.0,860.0
450.0,520.0
nan,1130.0
nan,610.0
nan,1130.0
nan,540.0
nan,420.0
nan,450.0
nan,520.0
nan,600.0
nan,470.0
nan,570.0
nan,480.0
nan,440.0
nan,410.0
nan,360.0
nan,360.0
nan,390.0
nan,570.0
nan,410.0
nan,550.0
nan,400.0
nan,470.0
nan,490.0
nan,670.0
nan,600.0
nan,360.0
nan,360.0
nan,420.0
nan,480.0
nan,590.0
nan,530.0
nan,420.0
nan,350.0
nan,280.0
nan,370.0
nan,470.0
nan,220.0
nan,230.0
nan,220.0
2820.0,420.0
1700.0,190.0
360.0,260.0
5060.0,190.0
2130.0,250.0
6500.0,210.0
4870.0,200.0
5800.0,240.0
5370.0,210.0
6650.0,140.0
6720.0,180.0
3140.0,180.0
2660.0,170.0
5160.0,140.0
4680.0,220.0
1850.0,220.0
970.0,150.0
1200.0,200.0
3990.0,340.0
7420.0,220.0
2110.0,100.0
180.0,150.0
2530.0,250.0
1660.0,330.0
1790.0,240.0
730.0,280.0
2610.0,360.0
3040.0,330.0
2660.0,200.0
480.0,230.0
4030.0,160.0
2380.0,150.0
15130.0,230.0
4210.0,200.0
3100.0,100.0
4290.0,190.0
1600.0,290.0
450.0,270.0
1610.0,340.0
3680.0,340.0
nan,270.0
1300.0,390.0
1710.0,150.0
1330.0,200.0
520.0,270.0
1420.0,230.0
3300.0,nan
1100.0,250.0
1580.0,190.0
2440.0,180.0
950.0,130.0
780.0,240.0
1850.0,180.0
1260.0,nan
1220.0,nan
840.0,nan
2530.0,nan
3510.0,100.0
3290.0,140.0
5250.0,120.0
7060.0,120.0
8020.0,180.0
5370.0,70.0
9260.0,100.0
3650.0,90.0
3690.0,120.0
4320.0,70.0
1140.0,90.0
nan,70.0
2070.0,140.0
4260.0,1160.0
2840.0,70.0
2910.0,130.0
2910.0,70.0
4070.0,150.0
3400.0,220.0
14010.0,190.0
2750.0,110.0
3990.0,150.0
3300.0,150.0
3550.0,240.0
570.0,140.0
3080.0,350.0
2240.0,450.0
5370.0,230.0
3240.0,200.0
670.0,210.0
1410.0,180.0
6230.0,270.0
5130.0,280.0
3990.0,130.0
4720.0,240.0
4680.0,270.0
5200.0,270.0
4640.0,170.0
5690.0,220.0
2650.0,170.0
6970.0,220.0
14540.0,110.0
3340.0,nan
3680.0,250.0
3080.0,270.0
7700.0,200.0
3260.0,280.0
